,tenant id,na_count,total count,quality%_by_NA_count
314,6006,3,13,76.92307692307692
315,6007,3,13,76.92307692307692
316,6008,3,13,76.92307692307692
317,6009,3,13,76.92307692307692
318,6010,4,13,69.23076923076923
319,6011,3,13,76.92307692307692
320,6012,4,13,69.23076923076923
321,6013,3,13,76.92307692307692
322,6014,4,13,69.23076923076923
323,6015,4,13,69.23076923076923
324,6016,3,13,76.92307692307692
325,6017,3,13,76.92307692307692
326,6018,4,13,69.23076923076923
327,6019,3,13,76.92307692307692
328,6021,3,13,76.92307692307692
329,6022,4,13,69.23076923076923
330,6023,4,13,69.23076923076923
331,6024,4,13,69.23076923076923
332,6026,3,13,76.92307692307692
333,6027,3,13,76.92307692307692
334,6028,4,13,69.23076923076923
335,6029,4,13,69.23076923076923
336,6030,4,13,69.23076923076923
337,6031,3,13,76.92307692307692
338,6032,4,13,69.23076923076923
339,6033,3,13,76.92307692307692
340,6034,4,13,69.23076923076923
341,6035,3,13,76.92307692307692
342,6036,4,13,69.23076923076923
343,6037,3,13,76.92307692307692
344,6038,3,13,76.92307692307692
345,6039,3,13,76.92307692307692
346,6040,3,13,76.92307692307692
347,6041,3,13,76.92307692307692
348,6042,3,13,76.92307692307692
349,6043,4,13,69.23076923076923
350,6044,3,13,76.92307692307692
351,6045,3,13,76.92307692307692
352,6046,3,13,76.92307692307692
353,6047,3,13,76.92307692307692
354,6048,4,13,69.23076923076923
355,6049,3,13,76.92307692307692
356,6050,4,13,69.23076923076923
357,6051,3,13,76.92307692307692
358,6052,3,13,76.92307692307692
359,6053,4,13,69.23076923076923
360,6054,3,13,76.92307692307692
361,6055,3,13,76.92307692307692
362,6056,4,13,69.23076923076923
363,6057,3,13,76.92307692307692
364,6058,3,13,76.92307692307692
365,6059,3,13,76.92307692307692
366,6060,3,13,76.92307692307692
367,6061,3,13,76.92307692307692
368,6062,3,13,76.92307692307692
369,6063,3,13,76.92307692307692
370,6064,3,13,76.92307692307692
371,6065,3,13,76.92307692307692
372,6066,3,13,76.92307692307692
373,6067,3,13,76.92307692307692
374,6068,3,13,76.92307692307692
375,6069,3,13,76.92307692307692
376,6070,3,13,76.92307692307692
377,6071,3,13,76.92307692307692
378,6072,3,13,76.92307692307692
379,6073,3,13,76.92307692307692
380,6074,3,13,76.92307692307692
381,6075,3,13,76.92307692307692
382,6076,3,13,76.92307692307692
383,6077,4,13,69.23076923076923
384,6078,3,13,76.92307692307692
385,6079,4,13,69.23076923076923
386,6080,3,13,76.92307692307692
387,6081,3,13,76.92307692307692
388,6082,0,13,100.0
389,6083,3,13,76.92307692307692
390,6084,4,13,69.23076923076923
391,6086,3,13,76.92307692307692
392,6087,0,13,100.0
393,6088,3,13,76.92307692307692
394,6089,3,13,76.92307692307692
395,7926,1,13,92.3076923076923
396,8052,0,13,100.0
397,8078,3,26,88.46153846153847
398,8081,0,13,100.0
399,8083,1,13,92.3076923076923
400,8107,0,26,100.0
401,8122,0,13,100.0
402,8123,0,13,100.0
403,8128,1,26,96.15384615384616
404,8162,0,65,100.0
405,8178,0,26,100.0
406,8194,0,13,100.0
407,8234,0,13,100.0
408,8236,9,78,88.46153846153847
409,8245,0,13,100.0
410,8252,0,13,100.0
411,8253,0,13,100.0
412,8270,0,13,100.0
413,8284,1,13,92.3076923076923
414,8293,0,13,100.0
415,8458,108,416,74.03846153846155
416,8508,1,26,96.15384615384616
417,8541,37,2964,98.75168690958165
418,8552,114,702,83.76068376068376
419,8578,60,520,88.46153846153847
420,8586,330,2366,86.0524091293322
421,8599,0,13,100.0
422,8604,0,26,100.0
423,8621,346,3198,89.18073796122576
424,8666,7,91,92.3076923076923
425,8669,5,39,87.17948717948718
426,8743,16,585,97.26495726495726
427,8746,0,13,100.0
428,8749,4,130,96.92307692307692
429,8751,21,182,88.46153846153847
430,8758,0,13,100.0
431,8793,2,26,92.3076923076923
432,8798,2,52,96.15384615384616
433,8804,3,26,88.46153846153847
434,8808,2,26,92.3076923076923
435,8823,1,13,92.3076923076923
436,8848,0,13,100.0
437,8932,12,195,93.84615384615384
438,8997,5,26,80.76923076923077
439,9037,14,78,82.05128205128204
440,9160,1,13,92.3076923076923
441,9162,14,130,89.23076923076923
442,9170,0,26,100.0
443,9208,1,13,92.3076923076923
444,9238,0,13,100.0
445,9346,71,559,87.29874776386404
446,9373,7,130,94.61538461538461
447,9379,1,13,92.3076923076923
448,9380,22,143,84.61538461538461
449,9381,14,130,89.23076923076923
450,9391,1,39,97.43589743589743
451,9402,40,325,87.6923076923077
452,9548,0,13,100.0
453,9676,0,13,100.0
454,9693,0,13,100.0
455,9715,0,78,100.0
456,9732,0,13,100.0
457,9756,1,13,92.3076923076923
458,9763,0,13,100.0
459,9765,0,13,100.0
460,9769,1,13,92.3076923076923
461,9799,0,13,100.0
462,9802,0,13,100.0
463,9803,2,26,92.3076923076923
464,9825,0,13,100.0
465,9866,60,910,93.4065934065934
466,9906,0,13,100.0
467,9909,56,182,69.23076923076923
468,9922,0,13,100.0
469,9946,0,13,100.0
470,9982,0,13,100.0
471,10006,0,13,100.0
472,10052,0,52,100.0
473,10507,2,26,92.3076923076923
474,10640,2,52,96.15384615384616
475,10651,17,195,91.28205128205128
476,10688,0,39,100.0
477,10702,1,13,92.3076923076923
478,10706,3,39,92.3076923076923
479,10726,71,3952,98.20344129554655
480,10732,0,13,100.0
